Date,HomeTeam,AwayTeam,Attendance,Referee,HY,AY,HR,AR,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,File
19/08/00,Charlton,Man City,20043,Rob Harris,1,2,0,0,4,0,H,2,0,H,N/A,N/A,N/A,N/A,N/A,N/A,2.0,3.0,3.2,2.2,2.9,2.7,2.2,3.25,2.75,2.2,3.25,2.88,2.1,3.2,3.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
19/08/00,Chelsea,West Ham,34914,Graham Barber,1,2,0,0,4,2,H,1,0,H,N/A,N/A,N/A,N/A,N/A,N/A,1.47,3.4,5.2,1.6,3.2,4.2,1.5,3.4,6.0,1.5,3.6,6.0,1.44,3.6,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
19/08/00,Coventry,Middlesbrough,20624,Barry Knight,5,3,1,0,1,3,A,1,1,D,N/A,N/A,N/A,N/A,N/A,N/A,2.15,3.0,3.0,2.2,2.9,2.7,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
19/08/00,Derby,Southampton,27223,Andy D'Urso,1,1,0,0,2,2,D,1,2,A,N/A,N/A,N/A,N/A,N/A,N/A,2.0,3.1,3.2,1.8,3.0,3.5,2.2,3.25,2.75,2.05,3.2,3.2,2.0,3.2,3.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
19/08/00,Leeds,Everton,40010,Dermot Gallagher,1,3,0,0,2,0,H,2,0,H,N/A,N/A,N/A,N/A,N/A,N/A,1.65,3.3,4.3,1.55,3.3,4.5,1.55,3.5,5.0,1.57,3.6,5.0,1.61,3.5,4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
19/08/00,Leicester,Aston Villa,21455,Mike Riley,2,3,0,0,0,0,D,0,0,D,N/A,N/A,N/A,N/A,N/A,N/A,2.15,3.1,2.9,2.3,2.9,2.5,2.35,3.2,2.6,2.25,3.25,2.75,2.4,3.25,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
19/08/00,Liverpool,Bradford,44183,Paul Durkin,1,1,0,0,1,0,H,0,0,D,N/A,N/A,N/A,N/A,N/A,N/A,1.25,4.1,7.2,1.25,4.3,8.0,1.35,4.0,8.0,1.36,4.0,8.0,1.33,4.0,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
19/08/00,Sunderland,Arsenal,46346,Steve Dunn,3,1,0,1,1,0,H,0,0,D,N/A,N/A,N/A,N/A,N/A,N/A,2.85,3.25,2.1,2.9,2.9,2.1,4.3,3.2,1.7,3.3,3.1,2.05,3.75,3.0,1.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
19/08/00,Tottenham,Ipswich,36148,Alan Wiley,0,0,0,0,3,1,H,2,1,H,N/A,N/A,N/A,N/A,N/A,N/A,1.45,3.6,7.0,1.5,3.4,4.7,1.45,3.6,6.5,1.5,3.5,6.5,1.44,3.6,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
20/08/00,Man United,Newcastle,67477,Steve Lodge,0,1,0,0,2,0,H,1,0,H,N/A,N/A,N/A,N/A,N/A,N/A,1.38,3.5,7.0,1.45,3.5,5.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,england-premier-league-2000-to-2001
